Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
RUS,USA,2017,3,4559,17386,448,3.8135556042991885,16.4514491884484
RUS,CZE,2017,1,330,3676,397,11.139393939393939,47.54033922612372
RUS,USA,2017,1,21492,116804,371,5.434766424716173,19.557623920464728
RUS,DEU,2017,1,3908,17872,296,4.573183213920164,16.535433017407055
RUS,SYR,2017,1,5049,20615,293,4.082986730045554,14.771263304261602
RUS,AUT,2015,1,645,3676,284,5.69922480620155,26.647912810614578
RUS,USA,2015,1,7964,24100,283,3.02611752887996,11.257919297039555
RUS,SYR,2015,1,5926,19171,259,3.235065811677354,11.219569652045607
RUS,EGY,2015,2,217,2058,259,9.483870967741936,26.69774175049018
RUS,SYR,2017,4,1110,4339,257,3.909009009009009,13.629908300478396
RUS,USA,2015,3,1692,6779,255,4.006501182033097,20.524882542004892
RUS,EUR,2017,1,1015,3639,250,3.5852216748768475,15.448341680441422
RUS,EGY,2015,1,1967,5771,241,2.9339095068632437,10.553583863702682
RUS,SYR,2017,2,502,1556,238,3.099601593625498,12.428881110916574
RUS,TUR,2016,2,501,1700,235,3.3932135728542914,13.647823044438095
RUS,TUR,2016,4,2079,8679,228,4.174603174603175,15.365636996612114
RUS,TUR,2016,1,7798,20513,228,2.6305462939215185,8.749199592353262
RUS,IRN,2016,1,4631,13903,228,3.0021593608291948,11.277397437367531
RUS,SYR,2016,4,2519,10227,224,4.0599444223898375,13.387129255483634
RUS,SAU,2016,1,973,3507,218,3.6043165467625897,13.76913789251118
RUS,SYR,2015,4,1391,4837,218,3.4773544212796548,13.627602032952815
RUS,GRC,2016,1,787,3934,212,4.998729351969504,17.022324763913186
RUS,USA,2016,1,12340,40770,208,3.3038897893030796,10.877901788893134
RUS,SYR,2017,3,1270,9778,207,7.699212598425197,22.32645353284514
RUS,GBR,2015,1,1483,4247,198,2.863789615643965,11.173955327765979
RUS,FRA,2015,1,3939,13295,198,3.3752221375983753,10.39737902181449
RUS,SYR,2016,1,9143,30831,195,3.372087936125998,11.450645315847659
RUS,GBR,2017,1,1359,4253,188,3.129506990434143,12.125546213033907
RUS,FRA,2017,1,1841,6970,187,3.78598587724063,13.742778309771989
RUS,ISR,2017,1,2299,5538,185,2.40887342322749,7.895467488868751
RUS,ITA,2010,1,340,1575,176,4.632352941176471,18.747274658779126
RUS,TUR,2016,3,1013,2330,173,2.3000987166831193,8.299410069404136
RUS,USA,2017,2,1783,5347,172,2.9988782950084127,10.163147201070844
RUS,SYR,2015,2,647,2985,172,4.613601236476043,13.955224745310797
RUS,EGY,2015,4,220,999,171,4.540909090909091,18.79991156811294
RUS,PAN,2016,1,80,446,170,5.575,22.09746820940858
RUS,CHN,2017,1,2803,7810,168,2.786300392436675,9.90077455955037
RUS,USA,2016,3,3471,10968,167,3.159896283491789,10.02104784311332
RUS,LVA,2016,1,139,809,167,5.820143884892087,21.02043581180651
RUS,EUR,2016,1,1166,3070,167,2.632933104631218,10.405961289543106
RUS,SLV,2017,1,42,1686,167,40.142857142857146,56.00068441592714
RUS,QAT,2015,1,331,2843,166,8.589123867069487,25.338443713774637
RUS,QAT,2017,1,525,2579,164,4.9123809523809525,15.296058560563438
RUS,UKR,2016,3,1080,2685,164,2.486111111111111,8.580307629903922
RUS,DEU,2016,1,2189,5995,162,2.7386934673366836,8.28189730510257
